scenario,tot_stock_C,tot_stock_E,tot_stock_N,tot_stock_P,tot_stock_S
CH1SP0SE1WE0BP1RE0CO0DI0WO0CS0,174767926,2909517,23379970,23729292,637879
CH1SP0SE1WE1BP1RE0CO1DI1WO0CS0,168810411,4751994,21282117,29724303,855759
CH0SP1SE0WE0BP0RE1CO0DI0WO1CS0,168482143,3241923,16068263,36439729,1192526
CH1SP1SE0WE0BP1RE0CO0DI1WO1CS0,166395364,4914633,17086390,35979160,1049037
CH1SP0SE1WE0BP0RE1CO0DI1WO0CS1,164497439,6695427,18130586,34004584,2096548
CH1SP0SE1WE0BP0RE1CO0DI0WO1CS1,168923942,8684396,18709735,26723868,2382643
CH1SP0SE1WE0BP0RE1CO0DI1WO0CS0,164803112,6777988,18014176,34441054,1388254
CH0SP0SE1WE0BP1RE1CO0DI1WO1CS0,165238638,5232624,20330197,33274039,1349086
CH0SP0SE1WE1BP1RE0CO0DI0WO0CS0,175549318,1732023,23656066,23798411,688766
CH0SP1SE0WE0BP1RE1CO0DI1WO1CS0,161822269,3468590,17016461,42106642,1010622
CH0SP1SE0WE1BP0RE1CO1DI0WO0CS1,167122341,1826704,16318664,38477271,1679604
CH1SP0SE1WE0BP1RE1CO1DI0WO0CS1,167811567,5903839,22628687,26417700,2662791
CH1SP0SE0WE0BP1RE1CO0DI0WO1CS1,169082543,7175493,22554993,24738295,1873260
CH1SP0SE0WE0BP1RE0CO0DI1WO0CS0,170480465,3442946,21451252,29092650,957271
CH0SP0SE0WE0BP1RE0CO1DI0WO1CS0,173195148,3568300,23394555,24313051,953530
CH0SP0SE0WE1BP0RE0CO0DI0WO0CS1,175646251,1576452,20403640,26036584,1761657
CH0SP1SE1WE0BP1RE1CO0DI0WO1CS1,168002490,3478644,19037379,32711437,2194634
CH0SP1SE1WE0BP1RE0CO1DI1WO0CS0,165384559,1941135,17450054,39727981,920855
CH0SP1SE0WE1BP1RE0CO0DI0WO1CS1,172840115,1868576,19567788,30035411,1112694
CH1SP0SE1WE0BP0RE0CO0DI0WO1CS0,173822168,6300793,19091160,25180514,1029949
CH0SP1SE1WE0BP0RE0CO0DI1WO0CS1,167635149,1727116,15224884,39383411,1454024
CH0SP0SE1WE1BP0RE1CO1DI0WO0CS1,169952665,3311717,19967575,29554674,2637953
CH0SP1SE0WE0BP0RE0CO0DI0WO1CS1,172578117,2197913,16353169,32839338,1456047
CH0SP1SE0WE1BP0RE1CO0DI0WO1CS1,168856454,2787409,16167184,35705627,1907910
CH1SP0SE0WE0BP0RE0CO1DI0WO0CS0,173032062,3976613,20241647,27017288,1156974
CH0SP1SE1WE1BP0RE1CO1DI0WO1CS0,167157186,3910470,15906273,37385149,1065506
CH0SP0SE1WE0BP0RE0CO0DI0WO0CS0,175702654,2155966,20260986,26381319,923659
CH0SP1SE0WE1BP0RE0CO0DI0WO1CS1,172605484,2165263,16424112,32729631,1500094
CH1SP0SE1WE0BP1RE1CO0DI0WO0CS1,170168386,4703243,22705638,25433734,2413583
CH0SP0SE1WE1BP0RE0CO0DI0WO0CS0,175750923,2128446,20006287,26586756,952172
CH1SP1SE0WE0BP1RE1CO0DI0WO1CS0,167212334,6082328,19101312,32078809,949801
CH1SP0SE0WE0BP0RE1CO0DI0WO1CS1,169062416,7810425,18974523,27248871,2328349
CH0SP0SE1WE1BP1RE0CO1DI1WO0CS0,169798671,2656928,21739926,30327694,901365
CH1SP0SE1WE1BP0RE1CO0DI1WO0CS1,165706649,5949300,18241591,33267840,2259204
CH1SP1SE0WE0BP0RE1CO0DI1WO0CS1,161558251,3803669,15053354,42945536,2063774
CH0SP1SE1WE0BP0RE1CO0DI0WO1CS0,168586779,3656476,15934455,36175420,1071454
CH1SP0SE1WE0BP1RE0CO1DI1WO0CS0,167949222,5397751,21125612,30097822,854177
CH0SP0SE0WE1BP0RE1CO1DI0WO0CS1,169970777,2644360,20316388,29927488,2565571
CH0SP0SE0WE1BP1RE0CO0DI0WO0CS1,175410054,1204537,23504689,23725600,1579704
CH1SP0SE1WE0BP0RE0CO0DI0WO0CS1,174548889,3228421,19827286,25938578,1881410
CH0SP1SE0WE1BP1RE0CO1DI1WO0CS0,166025900,1340140,17649658,39332689,1076197
CH0SP0SE0WE1BP0RE1CO1DI0WO1CS0,169935649,4744964,19657534,29771007,1315430
CH0SP0SE0WE1BP0RE0CO0DI1WO0CS1,171370127,2025466,19084547,31148448,1795996
CH0SP0SE1WE0BP0RE1CO0DI0WO0CS1,170938800,2983228,19826131,28629811,3046614
CH1SP0SE1WE0BP1RE1CO0DI1WO0CS1,164873439,6042892,20496590,32038397,1973266
CH0SP1SE0WE0BP1RE0CO1DI0WO1CS0,170860373,2608211,19680132,31489355,786513
CH1SP0SE1WE1BP0RE0CO0DI0WO0CS0,175160923,3285719,19978815,25997068,1002059
CH1SP0SE0WE1BP0RE1CO0DI0WO0CS0,171314381,4403324,19929082,28301742,1476055
CH0SP0SE0WE0BP0RE0CO0DI1WO0CS0,171177504,2174724,19132481,31598378,1341497
CH0SP0SE1WE0BP0RE0CO1DI0WO1CS0,173314768,4953071,19273516,26722749,1160480
CH0SP0SE1WE1BP1RE0CO0DI0WO1CS1,174962908,3040062,22908682,23442691,1070241
CH1SP1SE0WE0BP0RE0CO1DI0WO1CS0,169486504,5268114,16155314,33637757,876895
CH0SP0SE1WE0BP0RE0CO1DI1WO0CS0,168952427,3322735,18934904,32946686,1267832
CH0SP1SE0WE0BP1RE0CO0DI0WO1CS0,172755916,2206567,19735737,29865599,860765
CH0SP0SE0WE1BP0RE0CO0DI0WO1CS0,175363869,3009097,20005479,25930170,1115969
CH1SP1SE0WE0BP0RE0CO0DI1WO1CS0,166456137,4772040,15143662,38177874,874871
CH1SP1SE0WE1BP0RE1CO0DI1WO1CS0,161857627,6449198,14790544,40976174,1351041
CH0SP1SE1WE0BP0RE1CO1DI0WO1CS0,166404829,4294777,15858270,37828424,1038284
CH0SP0SE0WE1BP1RE0CO1DI0WO1CS0,173472300,3273326,23433111,24240881,1004966
CH0SP1SE1WE0BP1RE1CO0DI1WO0CS1,162023478,2353803,17072698,42067713,1906892
CH1SP0SE0WE1BP1RE0CO0DI0WO0CS1,175125232,1749138,23382101,23680988,1487125
CH0SP1SE1WE0BP1RE1CO1DI0WO0CS0,166992217,2398844,19560977,35322823,1149723
CH0SP0SE1WE0BP0RE1CO0DI0WO1CS1,170426921,4776193,19108114,28126877,2986479
CH0SP0SE0WE0BP1RE0CO0DI1WO1CS0,170889435,3455013,21205717,28769621,1104798
CH0SP0SE0WE1BP0RE1CO0DI0WO0CS1,172025618,2125514,20037409,28768422,2467621
CH1SP0SE0WE0BP1RE0CO1DI0WO1CS0,171425681,6391967,22683114,24133598,790224
CH1SP0SE0WE1BP1RE0CO0DI1WO0CS0,170965431,3044008,21625078,28868817,921250
CH0SP1SE1WE1BP0RE1CO0DI0WO0CS1,169112689,1964756,16072377,36453374,1821388
CH0SP0SE1WE0BP1RE0CO0DI0WO1CS1,174452086,3295215,22525024,23401070,1751189
CH1SP1SE0WE1BP0RE0CO0DI1WO1CS0,167008946,4539111,15092267,37748010,1036250
CH0SP0SE1WE0BP1RE1CO1DI0WO0CS1,169127353,2907378,23371341,26990170,3028342
CH0SP1SE1WE1BP0RE1CO1DI0WO0CS1,166954990,2178568,16168149,38020227,2102650
CH1SP0SE0WE1BP0RE0CO1DI0WO0CS1,173427404,3144995,20397243,26849784,1605158
CH0SP0SE0WE0BP0RE0CO1DI0WO0CS1,173417655,2054654,20522808,27234122,2195345
CH1SP0SE1WE1BP0RE0CO1DI0WO0CS1,173140236,4064314,19921238,26715607,1583189
CH0SP0SE0WE0BP1RE1CO0DI1WO0CS1,165515768,2559140,21294319,33596862,2458495
CH1SP1SE0WE1BP0RE1CO0DI0WO1CS0,168049411,5362582,16089662,34869535,1053394
CH1SP0SE0WE0BP1RE1CO0DI0WO0CS1,170245861,4046307,23242568,25717446,2172402
CH0SP1SE0WE0BP0RE1CO1DI0WO0CS0,166728612,2173507,16262788,39117033,1142644
CH0SP0SE1WE0BP1RE0CO1DI1WO0CS0,169134846,2960946,21453969,30738996,1135827
CH1SP0SE0WE0BP0RE0CO0DI0WO1CS0,173947648,5405511,19461437,25449954,1160034
CH1SP1SE0WE0BP1RE1CO0DI1WO0CS0,161652137,4184952,17123563,41284026,1179906
CH1SP0SE0WE1BP0RE0CO0DI1WO0CS1,170789145,3290067,19007833,30840565,1496974
CH1SP0SE0WE0BP0RE1CO0DI0WO0CS1,170341018,4490512,19739118,28165728,2688208
CH0SP1SE0WE0BP1RE0CO0DI1WO1CS0,167589929,2475479,17399332,36854597,1105247
CH0SP0SE1WE0BP0RE1CO1DI0WO0CS1,168940319,3489975,19824166,29666562,3503562
CH1SP0SE1WE0BP0RE0CO1DI0WO1CS0,171402610,8156970,18873816,25949915,1041273
CH1SP0SE0WE1BP0RE0CO0DI0WO1CS0,174345622,4947720,19602545,25469437,1059260
CH0SP1SE1WE0BP1RE0CO0DI1WO0CS1,167548242,1640478,17217276,37365509,1653079
CH1SP1SE0WE1BP0RE1CO0DI1WO0CS0,162697085,3686664,15103203,42945158,992474
CH0SP1SE1WE1BP0RE0CO1DI0WO1CS0,171061965,3203207,16149207,34228772,781433
CH1SP0SE0WE0BP0RE0CO1DI1WO0CS0,167955672,5059043,18879869,32497203,1032797
CH0SP0SE0WE0BP0RE1CO0DI0WO0CS1,170961680,2493132,20003525,28806319,3159928
CH1SP1SE0WE0BP0RE0CO0DI0WO1CS0,171787023,4010721,16299565,32393643,933632
CH0SP1SE0WE1BP0RE1CO1DI1WO0CS0,160466504,2034031,15043161,46632233,1248655
CH0SP1SE1WE1BP0RE0CO1DI1WO0CS0,165772674,1845686,15296706,41567000,942518
CH0SP0SE0WE0BP0RE0CO0DI0WO0CS0,175711141,1611138,20354581,26470391,1277333
CH1SP0SE1WE1BP0RE0CO0DI0WO0CS1,174981802,3236293,19825932,25883544,1497013
CH1SP0SE0WE0BP0RE1CO1DI0WO0CS0,168694761,6034737,19872636,29454216,1368234
CH0SP1SE0WE1BP1RE0CO1DI0WO0CS0,171490546,1161182,19909405,32074840,788611
CH1SP1SE0WE1BP0RE0CO1DI0WO0CS1,170871769,2184329,16438840,34615092,1314554
CH0SP1SE1WE0BP0RE1CO0DI1WO0CS1,161944997,2398116,15000817,43646652,2434002
CH1SP0SE1WE1BP0RE0CO1DI0WO1CS0,172019402,7422593,19069723,25874874,1037992
CH0SP1SE0WE1BP0RE0CO1DI0WO0CS0,171476059,1215908,16551039,35196468,985110
CH1SP0SE1WE0BP0RE0CO1DI0WO0CS1,172525381,4579349,19789855,26822810,1707189
CH1SP1SE0WE0BP1RE1CO1DI0WO0CS1,165643201,3931258,19324352,34448099,2077674
CH0SP0SE0WE1BP0RE0CO1DI0WO0CS0,174298764,1972409,20614428,27353618,1185365
CH0SP1SE0WE1BP0RE0CO1DI0WO0CS1,171285612,1109870,16608609,35021584,1398909
CH1SP1SE0WE0BP1RE1CO0DI0WO0CS0,168160926,3695433,19499980,33010920,1057325
CH0SP0SE1WE1BP0RE1CO1DI0WO1CS0,169948335,5469183,19240001,29375617,1391448
CH0SP0SE0WE1BP0RE1CO0DI1WO1CS0,165979098,4482877,18409592,35098969,1454048
CH0SP1SE0WE0BP1RE1CO0DI1WO0CS0,162241623,1985258,17145728,42808080,1243895
CH0SP1SE0WE1BP1RE0CO1DI0WO0CS1,171349774,1059053,19734845,32137217,1143695
CH1SP0SE0WE1BP0RE1CO1DI0WO0CS1,169268908,4880984,19913201,29320902,2040589
CH1SP1SE0WE0BP0RE0CO0DI0WO0CS1,172334546,1689697,16576848,33291960,1531533
CH1SP0SE1WE1BP0RE1CO0DI1WO0CS0,165696922,5953982,18200111,34138887,1434682
CH1SP1SE0WE1BP0RE0CO0DI1WO0CS0,167964703,2240100,15200178,39142362,877241
CH0SP1SE0WE0BP1RE1CO0DI0WO0CS0,169001527,1761116,19556108,33852185,1253648
CH0SP1SE0WE0BP0RE0CO1DI0WO0CS1,170720536,1344804,16507475,35214513,1637256
CH0SP0SE1WE1BP0RE1CO0DI1WO0CS1,166148588,3303060,18485878,35428654,2058404
CH1SP1SE0WE1BP0RE1CO0DI0WO0CS1,168692727,3013589,16138804,35836675,1742789
CH0SP1SE0WE0BP1RE0CO1DI0WO0CS1,170746475,1249552,19749929,32150996,1527632
CH1SP1SE0WE1BP0RE0CO0DI0WO1CS1,171964655,3474018,16322240,32034816,1628855
CH1SP0SE0WE1BP1RE0CO0DI0WO0CS0,175219265,2074098,23704913,23684273,742035
CH0SP1SE0WE0BP0RE1CO1DI0WO0CS1,166168159,2039373,16270737,38671757,2274558
CH1SP1SE0WE1BP0RE1CO0DI0WO1CS1,167712048,5572986,16054467,34429264,1655819
CH1SP0SE0WE0BP1RE1CO0DI1WO0CS1,164827642,5081191,20907615,32353756,2254380
CH0SP0SE0WE0BP0RE0CO0DI0WO0CS1,175243719,1647887,20391978,26262232,1878768
CH0SP0SE1WE1BP0RE0CO0DI0WO0CS1,175497315,2103835,20198866,25755095,1869473
CH0SP0SE1WE0BP1RE0CO0DI1WO1CS0,170839787,4065121,20723023,28562850,1233803
CH0SP1SE0WE0BP1RE0CO1DI1WO0CS0,165326947,1591668,17594730,39867102,1044137
CH1SP0SE1WE0BP1RE1CO1DI0WO1CS0,166788150,10285022,21838113,25507825,1005474
CH1SP0SE0WE1BP0RE0CO0DI0WO0CS0,169922684,2118980,19595667,25773518,984940
CH0SP1SE1WE1BP0RE0CO0DI1WO1CS0,167872233,3024665,14931439,38957753,638494
CH1SP1SE0WE1BP0RE0CO1DI1WO0CS0,165521641,2627196,15356897,40972796,946054
CH0SP1SE0WE1BP0RE0CO0DI1WO0CS0,168125526,1325722,15361550,39661559,950227
CH1SP0SE1WE1BP1RE0CO0DI1WO0CS0,170805041,3893526,21203220,28501690,1021107
CH0SP0SE1WE0BP1RE0CO0DI1WO0CS1,170952784,2282769,21399897,29116069,1673065
CH1SP0SE0WE0BP0RE1CO1DI0WO0CS1,168129402,5620924,19784500,29325927,2563831
CH0SP0SE1WE1BP0RE1CO0DI0WO1CS1,171386563,4598472,19162129,28093567,2183853
CH1SP1SE0WE1BP1RE0CO0DI0WO1CS1,172078724,3254525,19120063,29652994,1318278
CH0SP0SE1WE0BP1RE1CO1DI1WO0CS0,163377445,3763249,21036424,35936262,1311204
CH1SP1SE0WE1BP1RE0CO1DI0WO1CS0,170151543,4272207,19439332,30912689,648813
CH0SP0SE0WE0BP1RE0CO0DI1WO0CS1,170967040,1809198,21654403,29223624,1770319
CH0SP0SE0WE0BP1RE1CO0DI0WO0CS1,171026298,1979902,23533238,26043469,2841677
CH0SP1SE0WE0BP1RE1CO1DI0WO1CS0,166523361,3629190,19400012,34624281,1247740
CH0SP0SE0WE0BP0RE0CO0DI0WO1CS1,174794626,2992462,19831611,25807368,1998517
CH1SP0SE0WE0BP0RE0CO0DI0WO0CS1,174804085,2813137,20031236,26279346,1496780
CH1SP0SE1WE0BP1RE0CO1DI0WO0CS0,172742243,4079062,23327739,24589322,686218
CH0SP0SE1WE1BP0RE0CO1DI0WO0CS1,173870851,2538949,20317808,27028652,1668324
CH0SP1SE0WE0BP1RE0CO0DI1WO0CS0,167833414,1288876,17559828,37542419,1200047
CH1SP0SE0WE0BP0RE1CO1DI1WO0CS0,162382121,6796953,18582218,36217559,1445733
CH0SP0SE1WE1BP1RE0CO0DI0WO0CS1,175395659,1573196,23506321,23617035,1332373
CH0SP1SE1WE1BP0RE1CO0DI1WO1CS0,162725871,3577595,14744935,43145863,1230320
CH1SP0SE1WE0BP0RE0CO1DI0WO0CS0,172873887,4825214,19788044,26764108,1173331
CH1SP0SE0WE0BP0RE1CO0DI1WO0CS0,164883328,6000344,18575919,34810873,1154120
CH1SP0SE0WE0BP0RE0CO0DI1WO0CS0,170427794,3788269,19024654,31104673,1079194
CH1SP1SE0WE0BP0RE1CO0DI0WO0CS1,167814706,3443132,16101062,36256188,1809496
CH1SP1SE0WE0BP0RE0CO1DI0WO0CS1,170281208,2657563,16455919,34792418,1237476
CH0SP1SE0WE0BP1RE1CO0DI1WO0CS1,161966460,1893594,17203682,42270727,2090121
CH0SP0SE1WE0BP1RE0CO0DI1WO0CS0,171320486,2451220,21508873,29138821,1005184
CH0SP0SE0WE0BP1RE1CO1DI0WO0CS0,170086912,2598884,24028690,27574171,1135927
CH1SP0SE1WE0BP1RE0CO0DI1WO0CS0,170340995,4297595,21229186,28600706,956102
CH1SP0SE1WE1BP0RE1CO0DI0WO0CS0,171267538,5322643,19515072,28258441,1060890
CH1SP1SE0WE0BP0RE1CO1DI0WO1CS0,164592801,7987966,15833115,35960791,1049911
CH0SP1SE1WE1BP1RE0CO0DI0WO0CS0,173213254,1247627,19935173,30196432,832098
CH0SP1SE1WE0BP0RE0CO1DI0WO0CS1,170625296,1746786,16509985,34823130,1719387
CH1SP1SE0WE1BP0RE0CO0DI1WO0CS1,167659140,2085705,15313938,38731164,1634637
CH1SP1SE0WE0BP1RE0CO1DI0WO1CS0,169384236,5129270,19314487,30845597,750994
CH0SP0SE0WE1BP0RE0CO0DI0WO1CS1,175196349,3085003,19654198,25679367,1809667
CH0SP0SE1WE1BP1RE0CO0DI1WO1CS0,171094440,4146277,20864153,28338913,980801
CH0SP0SE1WE1BP1RE0CO1DI0WO0CS0,174028460,2135410,23713654,24673874,873186
CH0SP1SE1WE0BP0RE1CO1DI0WO0CS1,166006021,2504028,16229619,38038671,2646245
CH1SP0SE1WE0BP0RE1CO1DI1WO0CS0,162363737,7831870,18051040,35748623,1429314
CH1SP1SE0WE0BP1RE1CO1DI1WO0CS0,158997562,4760563,17048483,43259896,1358080
CH0SP1SE1WE1BP1RE0CO0DI0WO0CS1,173058524,1189279,19658163,30247547,1271071
CH1SP0SE1WE0BP1RE1CO0DI0WO1CS1,168757406,7963513,22042428,24667960,1993277
CH1SP1SE0WE0BP0RE0CO0DI0WO0CS0,172603716,1932899,16377272,33656487,854210
